Current Byte,Max Value,Result,Mean Absolute Error,SD for Byte,SD for Residual
100.0,273.64,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,286.92,1,34174.83539999999,29420.392441381922,29309.6815949642
189.0,286.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,286.92,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,286.92,1,34174.83539999999,29420.392441381922,29309.6815949642
267.0,286.96,0,34174.83539999999,29420.392441381922,29309.6815949642
595.0,291.6,0,34174.83539999999,29420.392441381922,29309.6815949642
93.0,326.44,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,324.88,1,34174.83539999999,29420.392441381922,29309.6815949642
92.0,381.36,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,436.32,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,436.32,1,34174.83539999999,29420.392441381922,29309.6815949642
129.0,490.96,1,34174.83539999999,29420.392441381922,29309.6815949642
607.0,544.44,0,34174.83539999999,29420.392441381922,29309.6815949642
100.0,522.32,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,571.0,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,625.64,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,625.64,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,680.28,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,736.76,1,34174.83539999999,29420.392441381922,29309.6815949642
96.0,736.76,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,791.56,1,34174.83539999999,29420.392441381922,29309.6815949642
124.0,848.04,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,845.24,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,901.72,1,34174.83539999999,29420.392441381922,29309.6815949642
295.0,958.2,1,34174.83539999999,29420.392441381922,29309.6815949642
576.0,948.56,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,984.16,1,34174.83539999999,29420.392441381922,29309.6815949642
189.0,1040.64,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1035.24,1,34174.83539999999,29420.392441381922,29309.6815949642
266.0,1091.72,1,34174.83539999999,29420.392441381922,29309.6815949642
457.0,1139.72,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1123.6,1,34174.83539999999,29420.392441381922,29309.6815949642
93.0,1157.92,1,34174.83539999999,29420.392441381922,29309.6815949642
92.0,1212.84,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1211.32,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,1267.8,1,34174.83539999999,29420.392441381922,29309.6815949642
100.0,1322.44,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1320.6,1,34174.83539999999,29420.392441381922,29309.6815949642
113.0,1377.08,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1431.2,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1431.2,1,34174.83539999999,29420.392441381922,29309.6815949642
92.0,1487.68,1,34174.83539999999,29420.392441381922,29309.6815949642
69.0,1542.64,1,34174.83539999999,29420.392441381922,29309.6815949642
89.0,1542.04,1,34174.83539999999,29420.392441381922,29309.6815949642
83.0,1597.12,1,34174.83539999999,29420.392441381922,29309.6815949642
63.0,1652.44,1,34174.83539999999,29420.392441381922,29309.6815949642
69.0,1652.08,1,34174.83539999999,29420.392441381922,29309.6815949642
89.0,1692.36,1,34174.83539999999,29420.392441381922,29309.6815949642
342.0,1691.44,0,34174.83539999999,29420.392441381922,29309.6815949642
432.0,1679.92,0,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1665.96,1,34174.83539999999,29420.392441381922,29309.6815949642
189.0,1666.32,1,34174.83539999999,29420.392441381922,29309.6815949642
54.0,1662.44,1,34174.83539999999,29420.392441381922,29309.6815949642
